ent,mun,loc,upm,est_d,t_loc,id_vivienda,hab
9,12,1,36666,2,1,2,6
9,8,1,36291,2,1,3,1
9,8,1,36291,2,1,4,7
9,12,27,37840,2,2,1,1
9,11,26,32565,2,3,5,2
9,11,26,32565,2,3,4,3
9,11,24,37652,2,3,4,6
9,12,1,36666,2,1,5,1
9,13,1,37178,2,1,2,4
9,5,1,11957,2,1,5,7
9,5,1,11957,2,1,3,1
9,12,1,36666,2,1,3,1
9,12,27,37840,2,2,5,1
9,13,1,37388,2,1,4,1
9,12,1,36666,2,1,1,2
9,11,24,37652,2,3,1,7
9,12,27,37840,2,2,2,1
9,7,1,29596,2,1,1,5
9,11,24,37652,2,3,2,5
9,7,1,29596,2,1,2,7
9,8,1,36291,2,1,1,6
9,5,1,11957,2,1,1,3
9,13,1,37178,2,1,1,1
9,12,1,36925,2,1,2,7
9,5,1,11957,2,1,4,5
9,7,1,29596,2,1,3,7
9,12,27,37745,2,2,1,3
9,11,26,32565,2,3,2,4
9,13,1,37388,2,1,3,1
9,13,1,37488,2,1,1,3
9,12,1,36666,2,1,4,5
9,12,27,37745,2,2,3,7
9,11,26,32565,2,3,1,4
9,13,1,37388,2,1,5,7
9,8,1,34946,2,1,3,1
9,13,1,37488,2,1,5,4
9,13,1,37488,2,1,4,3
9,12,27,37745,2,2,5,6
9,8,1,34946,2,1,5,1
9,11,26,32565,2,3,3,7
9,8,1,34946,2,1,2,7
9,11,24,37652,2,3,3,2
9,13,1,37178,2,1,3,7
9,13,1,37178,2,1,5,6
9,7,1,29596,2,1,4,2
9,12,27,37745,2,2,2,6
9,12,1,36925,2,1,3,7
9,12,1,36925,2,1,5,6
9,12,27,37840,2,2,3,1
9,12,1,36925,2,1,1,7
9,13,1,37178,2,1,4,2
9,12,1,36925,2,1,4,7
9,13,1,37388,2,1,1,7
9,5,1,11957,2,1,2,1
9,8,1,36291,2,1,2,1
9,7,1,29596,2,1,5,2
9,13,1,37488,2,1,3,7
9,8,1,36291,2,1,5,5
9,12,27,37745,2,2,4,1
9,13,1,37488,2,1,2,3
9,12,27,37840,2,2,4,6
9,11,24,37652,2,3,5,6
9,8,1,34946,2,1,4,2
9,13,1,37388,2,1,2,1
9,8,1,34946,2,1,1,4
9,10,1,25353,3,1,1,7
9,7,1,31154,3,1,2,6
9,7,1,26107,3,1,5,2
9,5,1,7180,3,1,5,5
9,7,1,29977,3,1,5,2
9,4,1,26943,3,1,3,3
9,7,1,28662,3,1,4,4
9,7,1,32719,3,1,4,1
9,7,1,31460,3,1,2,7
9,12,1,36578,3,1,3,5
9,8,1,33261,3,1,5,4
9,7,1,30229,3,1,1,4
9,10,1,25353,3,1,3,1
9,7,1,30080,3,1,3,7
9,17,1,19389,3,1,3,3
9,7,1,30229,3,1,4,6
9,7,1,30229,3,1,2,7
9,5,1,8318,3,1,2,7
9,13,1,37271,3,1,2,7
9,13,1,35410,3,1,4,5
9,7,1,30710,3,1,2,6
9,7,1,31882,3,1,3,7
9,7,1,29977,3,1,4,6
9,13,1,37271,3,1,1,2
9,12,1,36578,3,1,2,3
9,7,1,32398,3,1,5,3
9,7,1,29569,3,1,4,1
9,7,1,31460,3,1,4,1
9,7,1,30848,3,1,5,5
9,5,1,6153,3,1,1,1
9,11,11,37561,3,3,1,7
9,7,1,29254,3,1,4,6
9,10,1,28934,3,1,1,1
9,5,1,6816,3,1,1,6
9,5,1,6816,3,1,5,1
9,13,1,37771,3,1,2,3
9,5,1,6153,3,1,4,3
9,5,1,8318,3,1,5,6
9,5,1,7180,3,1,1,4
9,7,1,33864,3,1,2,6
9,5,1,7830,3,1,4,2
9,7,1,33864,3,1,3,3
9,5,1,7830,3,1,1,6
9,7,1,28662,3,1,1,5
9,7,1,27724,3,1,4,1
9,7,1,28662,3,1,3,7
9,7,1,32155,3,1,1,5
9,13,1,37271,3,1,3,7
9,7,1,27724,3,1,2,3
9,7,1,27724,3,1,3,5
9,7,1,32398,3,1,3,6
9,7,1,26107,3,1,2,3
9,7,1,30522,3,1,4,1
9,5,1,9669,3,1,5,3
9,7,1,29254,3,1,5,6
9,8,1,33261,3,1,3,4
9,8,1,33261,3,1,1,7
9,5,1,7830,3,1,5,2
9,7,1,32155,3,1,2,4
9,7,1,29254,3,1,3,5
9,7,1,32398,3,1,2,5
9,10,1,25353,3,1,2,7
9,5,1,12224,3,1,3,2
9,9,24,37862,3,3,1,7
9,10,1,25353,3,1,4,4
9,7,1,30710,3,1,5,3
9,5,1,12224,3,1,5,2
9,5,1,7180,3,1,7,7
9,7,1,33864,3,1,4,3
9,10,1,28934,3,1,4,7
9,7,1,29569,3,1,1,2
9,7,1,30848,3,1,2,4
9,7,1,26107,3,1,4,2
9,7,1,30522,3,1,5,5
9,5,1,9669,3,1,3,4
9,7,1,29799,3,1,2,1
9,7,1,32719,3,1,3,1
9,7,1,26107,3,1,3,6
9,5,1,8318,3,1,4,1
9,5,1,6153,3,1,3,4
9,7,1,31154,3,1,3,3
9,10,1,28934,3,1,5,2
9,5,1,7180,3,1,2,5
9,5,1,6816,3,1,3,6
9,7,1,30710,3,1,4,7
9,5,1,7180,3,1,4,3
9,7,1,32719,3,1,5,5
9,4,1,26943,3,1,1,4
9,7,1,30522,3,1,3,5
9,8,1,33261,3,1,4,7
9,7,1,32398,3,1,4,6
9,11,11,37561,3,3,4,7
9,7,1,31882,3,1,4,4
9,5,1,6816,3,1,4,2
9,12,1,36578,3,1,1,2
9,12,1,36578,3,1,4,1
9,7,1,31154,3,1,4,5
9,13,1,37771,3,1,4,3
9,5,1,9669,3,1,1,2
